ジャンル,テーマ
恋愛・人間関係,初デートで行きたい場所は？
自己紹介・価値観系,子どものころの夢は？
自己紹介・価値観系,小さい頃の将来の夢は？
自己紹介・価値観系,小さい頃の将来像と今の自分の共通点は？
自己紹介・価値観系,尊敬する人は誰？
自己紹介・価値観系,これだけは譲れないこだわりは？
自己紹介・価値観系,今年の目標は？
自己紹介・価値観系,理想の休日の過ごし方は？
自己紹介・価値観系,今の気分を一言で？
日常・生活習慣,最近ハマっていることは？
日常・生活習慣,朝型？夜型？理由は？
日常・生活習慣,気分転換の方法は？
日常・生活習慣,今朝なに食べた？
日常・生活習慣,朝起きて最初にすることは？
日常・生活習慣,一番好きな朝ごはんは？
日常・生活習慣,一番使うアプリは？
日常・生活習慣,やめたいけどやめられないことは？
日常・生活習慣,今週のハイライトは？
日常・生活習慣,最近の学びは？
日常・生活習慣,最近の失敗談は？
日常・生活習慣,最近笑った出来事は？
生活・ライフスタイル,最近のベスト買い物は？
生活・ライフスタイル,好きな香りは？
生活・ライフスタイル,好きなアイスの味は？
生活・ライフスタイル,好きな季節と理由は？
生活・ライフスタイル,もし無限に時間があったら何する？
仕事・勉強・工夫,仕事/勉強での小ワザは？
仕事・勉強・工夫,最近のガジェット事情は？
仕事・勉強・工夫,SNSどう使い分けてる？
趣味・エンタメ,好きな映画を教えて！
趣味・エンタメ,好きなYouTube/配信者は？
趣味・エンタメ,推しポイントを1分で語って！
趣味・エンタメ,最近観たアニメ/ドラマで良かったのは？
趣味・エンタメ,好きなボードゲームは？
趣味・エンタメ,思い出のゲームは？
趣味・エンタメ,最近聞いた名言は？
食べ物・料理,得意料理は？
子ども時代・過去エピソード,学生時代の黒歴史は？
子ども時代・過去エピソード,子どもの頃の呼び名は？
旅行・おでかけ,今行きたい旅行先は？
旅行・おでかけ,旅行の失敗談は？
旅行・おでかけ,もし瞬間移動できたらどこ行く？
旅行・おでかけ,地元のおすすめスポットは？
おもしろ発想,100万円あったら何に使う？
おもしろ発想,人生で一度はやってみたいことは？
おもしろ発想,無人島に1つ持っていくなら？
おもしろ発想,1日入れ替わるなら誰？
ガジェット・デジタル,今のスマホのホーム画面はどんな感じ？
